"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Austria","AUT","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","2520.8","2568.4","2509.9","2621.7","2330.1","2940.6","3251","3343.1","3555.7","3192.3","3656.4","3402.6","3855.5","4070.9","3752.7","4173.9","4096.2","4394.2","3729.2","4515.6","4147.1","4778.8","4755.5","5091.4","5269.4","4824.9","4962.9","5546","5289.7","5577.3","5463.1","5160.1","5098.5","5399.8","5515.3","5515.2","6039.9","5822.8","6050.5","5541.3","6035.5","5845.7","5581","6872.5","6345.9","5741.8","5865.7","6835","6174","6429.1","7288.4","6255.8","6098.7","7276.3","","",
"Azerbaijan","AZE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2114.7","1620.3","1632.7","1507.1","1578.1","1710.1","1558.9","2086","2335.2","2599.5","2623.2","2604.1","2588.8","2593.1","2599.3","2667.4","2741.5","2606.7","2020.6","2533.4","2709.3","2692.3","2386.2","","",
"Burundi","BDI","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","946.2","1010.6","919.6","991.9","983.6","975.8","997.3","1045.7","1066.6","1092.3","1110.7","1024.8","1110","973.3","1104.7","1104.8","1110.1","1234.2","1100","1063.5","1080.4","1075.4","1094","1108.9","1152.5","1213.5","1228.2","1194.3","1369","1348.5","1368.9","1391.4","1393.1","1274.1","1331.9","1386.1","1433.8","1275.9","1309.5","1233.1","1283.5","1308.8","1288.1","1328.1","1344.3","1277","1299.3","1280.8","1295.9","1222.6","1164","1106.7","1178.2","1331.9","","",
"Belgium","BEL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8021.4","8218.1","8500.9","8530.7","9184.9","8649.5","8373.3","8637.7","8885.8","9710","9348.1","9009","8666.3","9212.5","9539","","",
"Benin","BEN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","546.1","489.9","503.5","529.3","551.5","531.8","577.5","573.8","556.8","577.1","532.7","555.8","687.7","707.9","739.3","724.6","754","741.1","720.9","718.3","653.8","649.5","599.9","799.1","855.8","836.2","725.1","834.7","853.7","847.9","878.6","913.4","919.2","956.9","1086.5","1009.6","1117","1055.9","1162.6","1102.1","1069.3","945.1","1148.7","1146.6","1136.4","1125.7","1013.6","1248","1271.2","1200.6","1517.8","1373.2","1399.3","1460.3","","",
"Burkina Faso","BFA","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","408.5","477.9","473.1","522.5","485.7","495.4","452.3","625.8","484.5","516.6","444.5","461.2","436.6","488.2","558.1","499.4","528.8","576.4","580.1","569.8","576.6","568.3","514.9","589.9","708.8","699.5","641.7","726.9","672.9","600.2","876.6","871.5","936.2","787.9","851.1","916.5","704.5","889","912.9","859","967.8","942.7","996.3","940.7","1127.2","1203.9","936.1","1039.9","1002","1062.7","995.1","1203","1156.5","1225.8","","",
"Bangladesh","BGD","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1681.1","1514","1749.4","1691.8","1670","1570.8","1681.5","1727.9","1724.7","1666.2","1583.1","1554.5","1785.2","1708.4","1831.6","1769","1923.7","1926.9","1870.9","2005.8","1937.5","1997.9","2205.6","2134.6","2148.5","2146.6","2202.1","2235.8","2500.3","2490.6","2585.8","2625.7","2647.7","2475.9","2593.2","2694.2","2682.4","2865.3","3116.4","3384.4","3311","3395","3479.3","3439.4","3681.6","3761.4","4020.9","4102.5","4176","4288.3","4351.3","4400.7","4513.1","4618.4","","",
"Bulgaria","BGR","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1746.6","1822","1858.6","2137","2297.1","2930.6","2951.4","2439.4","2822.4","3124.1","3184.4","3702.2","3492.9","3184.2","3430.5","3741.8","3381.4","3498","3791.6","3705","4062.1","4669.5","3717.2","4497.9","2915","4047","3694.7","3705.5","4402.1","3953.7","3990.6","2953.7","2512.6","2798.6","3069","1908.6","3011.5","2673","2946.8","2459.9","2896.5","3156.3","2371.3","4077.8","3387","3572.5","2088.8","4100.9","3416.3","4019.5","4250.8","3671.8","4561","4860.7","","",
"Bahrain","BHR","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","666.7","833.3","833.3","892.9","909.1","914.9","937.5","940","980","980.8","990.7","991","1000","1000","1009.9","1021.2","1030.6","1158.7","1142.9","1141.3","1142.9","1165.4","1250","1333.3","1344.3","1344.3","1363.6","1400","1400","1500","1666.7","1666.7","1600","1793.1","1793.1","1793.1","1740","1984.2","2165.7","2476.2","3000","3050","3400","3550","3600","3800","4000","4761.9","6000","7533.3","7308.5","7340.4","7417.9","8187.3","","",
"Bosnia and Herzegovina","BIH","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3552.8","3500.4","3606","3586.3","3536.8","3523.7","3481.2","3756.4","2550.2","3201.7","3828.2","2521.6","4433.5","4253.3","4290.8","3223.2","4427.1","4503.1","3853","3724.9","3000.6","4026.9","3977.4","","",
"Belarus","BLR","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2741.5","2788.5","2267.2","2062.5","2190.1","2404.4","1889.7","1502.2","1949.4","2000.3","2476.8","2421.4","2984.2","2847.1","2549.7","2881.8","3548.8","3367.4","2808.2","3239.2","3477.8","3007.8","3720.5","","",
"Belize","BLZ","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","596.4","598.8","694.8","697.3","742","550.9","1027.9","1176.3","1272.7","1628.7","1529.1","1414.9","1860.7","1313.2","1054.7","1450.4","1592.2","1851.9","1711.2","1988.6","2071.5","2030.5","1865.2","1526","1515.9","1753","1706.6","1686.6","1612.4","2013.8","2276.1","2098.4","2131.2","1753.5","1777","2505.8","2395.1","2459.3","2806.3","2420.3","3101.3","2520.3","2955.6","2523.9","3041.7","2244.9","2638.5","2428","2972.1","3023.4","3155.5","3451.1","3615.6","3594.6","","",
"Bermuda","BMU","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","954.3","946.5","945.5","795.1","1051.6","1013.1","1095.6","1080.8","1082.1","1056.4","1103.1","1087.9","1091.5","1081.4","1140.6","1223.1","1038.3","1074.1","1131.6","1116.6","1300.5","1253.3","1043.5","1307.7","1336.4","1287.9","1332.9","1321","1354","1360.8","1358.1","1399.7","1537","1426.7","1561.2","1613.6","1388.2","1494.8","1366.5","1641.9","1784.9","1712.4","1963.3","1618.7","1927","2100.1","1763.3","2016.4","2346","2267.3","2045.3","2113.2","1717.9","2053.8","","",
"Brazil","BRA","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1346.3","1381.5","1322.4","1256.4","1428.3","1321.3","1402.2","1350.5","1302.8","1408.8","1290.8","1299.7","1411.7","1455.8","1358.8","1444.6","1452.5","1210.1","1301.3","1575.7","1611.1","1544.8","1614.6","1677.3","1827.8","1664.7","1882.1","1858.8","1999.7","1755.1","1850.7","2142.5","2354.5","2285","2513.2","2572.7","2521.8","2580.4","2720.3","2660.8","3148.7","2846","3385.3","3131.8","2882.6","3210.5","3553.1","3831.2","3532","4040.6","4037.5","4584.5","4826.4","4640.4","","",
"Barbados","BRB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1884.2","2511.2","1883","1788.7","1866.7","2075","2325.6","2375.4","2402.7","2424.2","2333.3","2727.6","2631.6","2614.4","2614.4","2614.4","2614.4","2614.4","2614.4","2500","2500","2500","2500","2727.3","2500","2561","2561","2619","2619","2674.4","2625","2571.4","2666.7","2600","2750","2666.7","2600","2600","2600","2608.7","2604.2","2626.5","2630","2659.6","2736.8","2700","2666.7","2738","2821.4","2877.5","2981.6","3200","2833.3","2700","","",
"Brunei Darussalam","BRN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1730.6","1852.7","1371.1","1323.5","1173.7","1392.2","1587.1","1586.8","1858.1","1962.1","1602.4","1617.5","2425.1","2904","2717.8","1964.7","1503.4","1591.7","2175.9","1379.7","1364.3","1482.5","1579.7","1557.1","1239.4","2135.9","1063","2168.5","2228.6","1550","1600","1233.3","2257.1","1670.2","1638.7","1651.9","1286.2","1084","526.3","650","729.2","729.4","792.8","819","872.8","809.1","725.5","700.8","514.7","580.1","922.7","977.2","966.4","836.2","","",
"Bhutan","BTN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1440.8","1440","1438.8","1439.4","1437.5","1437.7","1435.1","1432.7","1435.2","1436.7","1437","1441","1439.7","1442.6","1447.9","1438.9","1444.4","1443.3","1434.2","1425","1457.7","1445.3","1429","1442.3","1386.1","1371.9","1181.9","1019.7","1015.2","1279.8","1098.6","1102.7","1171.9","1279.3","1368.1","1465.5","1537.5","1558.6","1507.4","1437.9","1449.9","1549","1791.3","2995.2","2334.9","2199.7","1999.2","2741.5","2160.4","2469.1","2801.7","2944.2","2941.7","3130","","",
"Botswana","BWA","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","341.8","339.6","382.8","275.9","329.8","439.9","316.9","261.6","309.6","63.2","448","948.5","275.6","691","446.2","643.2","415.1","268.7","132.3","237.2","275.2","287.9","265.3","150.7","200.7","198.5","190.7","375.6","288.9","265.5","381.2","288.7","424.1","223.7","458.3","323.3","276.7","246.7","229.1","152.9","554.4","357.7","1214.6","275","439.1","372.8","639.2","361.6","364","371.7","452.3","367.2","217.6","304.4","","",
"Central African Republic","CAF","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","443","540.9","543.9","661.6","790.2","806.6","728.5","814","783.3","712.4","717.9","696.2","682.8","502.6","533.5","526","522.5","595.4","497.2","521","569.6","559.3","674.6","772.1","1076.9","1189.3","958.4","1112.3","1078.6","809.9","893.5","1006.1","990","876.6","869.5","882.9","947.9","985.7","1006.9","993.4","1032.7","1048.3","1009.6","1018.6","1023.2","999.7","951.2","946.8","948.4","1447.4","1516.2","1676.4","1582.1","1479.5","","",
"Canada","CAN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","985","1595.4","1838.9","1527.2","1730.4","1972.7","1519","1734.5","1959.2","2110.8","2145.2","1987.7","1951.3","1726.7","2052.2","2275.8","2265.9","2267.4","2032.7","2141.2","2346.4","2482.8","2204.6","2028","2222.1","2570.4","2396.6","1754.4","2193.6","2636.3","2580.7","2460.7","2647.2","2594.9","2699.9","2844.2","2584.2","2782.6","3087.7","2805.7","2446.8","2375.4","2759.6","3141.9","3215.9","3046.3","2964.9","3387.2","3297.5","3483.2","3524","3624.7","4166.4","3669.4","","",
"Central Europe and the Baltics","CEB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1702.2591566836","1648.9688852762","1730.87372023365","1763.01982043855","1997.14153813253","2132.04162551461","2167.64834028646","2161.95404946281","2286.37653087507","2126.70224970018","2567.78406457966","2791.21271287462","2820.45723234941","2877.2355019232","2810.44904922802","3107.49970504072","2962.24409812755","3144.38761419434","2917.08140479664","3076.5247564427","3021.3869457212","3449.91963919805","3201.13907901902","3578.0361956794","3302.53765063655","3478.62432161295","3356.65886272015","3446.12033640599","3625.49398866044","3454.58779097443","3614.37309920271","2516.07025310849","2773.3092553855","2945.33337211103","3226.99316235307","2971.46752536154","3412.8831877376","3186.63311831365","3288.96918499826","2646.35200941215","3389.000924152","3269.61016618364","2861.34284232945","4116.50750477683","3740.79621773867","3285.20325816759","2978.64002882437","3911.86775371949","3662.55262402718","3693.84902791766","4040.32260649444","3492.59958325634","4149.58609426792","4656.69590962281","","",
"Switzerland","CHE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","2872.6","3776.9","2936.1","3627.4","3212.2","3305.7","3983.4","3852.2","3651.4","3692.5","4282.9","4079.6","4198.3","4766.9","4256.9","4530.2","4004.4","4815.8","5078.4","4623.7","4948.1","5279.9","5071","6162.9","5720.6","5090.7","5043.2","6328.9","6780.9","5983.9","6292.7","6028.1","6403.9","5978.3","6278.4","6880.6","6579.6","6773.5","5790.7","6601.1","6160.9","6431.1","5086.5","6732.5","6300.4","6155.9","6421.8","6416.5","6578.2","6093.8","6690.7","6270.1","5746","6725","","",
"Channel Islands","CHI","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1441.3","1371.7","1574.7","1677.3","1691.9","1897.4","1951.6","1945.5","1671.6","1902.3","1994.4","1860.4","1683.3","1881","1722.9","1451","2130","1732.8","2191.5","2059.3","2120.5","2203.6","2261.5","2704.1","2949.1","3355.3","3222.6","3531.6","3914.7","3619.7","4050.9","4177.4","4246","4489.3","4472.5","4264.3","4507.5","5052","4061.1","4362.1","4935.7","5183.3","5390","5657.5","5811.2","5998.3","5744.3","5844.4","5462.3","6815.4","6927.8","6229.6","6913.2","6128.4","","",
"China","CHN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1192.7","1323.1","1490.7","1622.7","1746.5","1879.1","1935.7","1939.4","1900.4","2127.7","2174","2106.5","2275.7","2389.2","2480.4","2522.3","2486.9","2791.8","3032.5","2937.3","3081.6","3456","3716.1","3954.9","3820.5","3889.9","3973.1","3930.6","4014.7","4320.9","4226.8","4361.6","4562.1","4504.9","4659.3","4891.5","4814.1","4952.8","4944.9","4752.6","4800.3","4869.1","4872.9","5186.8","5224.6","5424.3","5319.9","5547.6","5447.5","5526.7","5707","5828.4","5889.4","5886.4","","",
"Cote d'Ivoire","CIV","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","624.2","785.7","751.9","774.9","785.5","840.7","888.9","877.8","845.1","828.6","1000.3","823.8","840.6","885.1","820.5","749.3","753.7","753.3","762.6","927.4","897.8","949","784.7","970.8","986.7","851.5","847.6","885.1","882.7","1112.5","1052.8","1050.8","1235.4","1131","1141.7","1388.8","1286.7","1498.6","1645.7","1682.3","1719.9","1750.9","1827","1853.9","1836.3","1827.9","1569.4","1735","1711.5","2271.1","1884.2","2080.8","2169.4","2138.7","","",
"Cameroon","CMR","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","863.9","757.5","775.4","781.9","768.6","821","760","768.1","838.6","798.8","804.8","820.2","770.7","881.9","1057.6","865.9","862.7","836.7","817.7","864.3","865","890.3","895.7","1076.6","1154.1","1381.5","1228","1165.9","1118.4","1259.3","1179.4","1072.2","959.3","968.8","1172.1","1329.8","1400.1","1407.5","1893.2","1763.5","1708.9","1682.7","1619.9","1563.2","1669.6","1700.3","1676.3","1678.5","1722.9","1642.5","1712.9","1591.5","1676","1681","","",
"Congo, Dem. Rep.","COD","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","699.2","700.8","692","692.1","646","695.1","699.8","710.5","710.8","727.1","725.4","746.5","741.1","744","747.7","745.8","739.2","728.9","799","798.7","822.5","833.9","833.5","850.2","799.6","789.9","821.8","797.9","802","799.8","802.4","782.2","790.6","793.4","765.8","780.9","801.7","811","787.3","786.6","786.6","772","771.5","771.7","771.7","771.6","771.6","771.6","771.6","771.7","771.2","771.4","772.7","772.2","","",
"Congo, Rep.","COG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","714.3","711.3","916.7","932.6","1020.4","1000","1090.9","1347.8","952.4","888.9","952.4","894.3","679.4","706.2","647.7","648.2","658.7","457.6","689.7","845.4","978.1","646.7","746.2","677.9","767.8","854.6","770.3","801.9","834.9","624.3","635.2","639.2","646.5","654.4","735.6","746.3","746.3","755.8","736.4","753.9","775","772","781","776.9","770.6","777.8","764.1","771.4","791.4","784.6","794.4","810","831.2","823.8","","",
"Colombia","COL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1275.2","1350.8","1386.1","1454.2","1259.1","1301.4","1421.7","1528.8","1607.8","1807.4","1904.5","2012.2","2105.9","2389.8","2379.2","2276.8","2249.6","2390.1","2463","2414.5","2479.7","2441","2514","2579.9","2662.6","2495.1","2724.1","2514.4","2486.9","2475.4","2450.7","2550","2505.5","2506.1","2643.9","2683.9","2906.7","3060.4","3146.7","3229.1","3133.5","3334.9","3616","3579.1","3637.1","3353","3592.7","3658.3","3605","3403.4","3344.9","3695.6","3263.5","4104.9","","",
"Comoros","COM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1107.8","1118.8","1083.7","1162.4","1094.9","1086.7","1099.3","1188.5","1097.6","1097.6","935","1008","1078.7","1129.8","1203","1157.1","1205.5","1161.3","1058.8","1058.1","1057.8","1058.1","1125","1110","1088.8","1117.8","1155.5","1157.3","1281.3","1267","1302.2","1292.1","1290.9","1293.1","1295","1295.3","1293.1","1279.3","1300.3","1315.7","1309.5","1308","1310","1311.4","1311.2","1278.6","1336.7","1287.6","1322.8","1362.3","1355.1","1319.6","1383.5","1369.6","","",
"Cabo Verde","CPV","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","650","650","650","650","485.7","487.2","488.9","440","437.5","308","303.3","191.7","238","314.3","444.4","454.5","375","333.3","428.6","531.3","428.6","440","385.7","493.6","400.9","534.3","607.2","481.9","273.8","334.6","252.9","302.1","359.1","250.3","262.9","317.2","146.9","141.5","1162","794.8","637.3","148.5","379.2","385.2","243.2","140.7","110.1","336.9","230.8","220","177.8","196.2","182.3","201.8","","",
"Costa Rica","CRI","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1153.5","1177.6","1242.2","1179.9","1530.5","1442.5","1476.7","1585.7","1573.4","1436.2","1837.8","1870.8","1388.8","1575","1895.6","1713.1","2058","2291.7","2293.6","2924.5","2276.3","1742.7","2401.5","2323.6","2323.6","2253.5","2256","2518.3","2621.8","3096.8","3299","3169","3419.3","3815.4","3777.6","3483.3","3790.7","3768.9","3676.8","3626.2","3549.6","3683.4","3171.4","3059.4","3189.1","3759","3538.2","3814.3","3790.7","3769.6","3330.3","3619.8","3283.3","3726.5","","",
"Caribbean small states","CSS","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","2001.23861053589","2216.81336639985","2057.63805016999","2081.70673744365","2158.94755216555","2144.71985339682","2184.35966328779","1892.75349970068","2034.84324299872","2291.77386414183","2191.1160973341","2265.3273858807","2346.85602184097","2599.22978245338","2425.50922194668","2267.32251801824","2839.14127402103","2940.53992337585","3013.2887212424","3202.22281985153","3306.78432983168","3356.05049333285","3256.6754584805","3283.90055765288","3338.05894138291","3361.58176517259","3230.43716263252","3165.87220379105","3240.41452976946","3158.01015914323","3252.25795485808","3396.82450089852","3291.39921639138","3570.55694789998","3670.49404920722","3693.16666452017","3727.71605917898","3717.26211509099","3628.02240630708","3623.04320300849","3751.55967896538","3759.97434850231","3863.48817321984","3804.00225868875","3637.33620450818","4051.86096635336","3940.37099764164","3879.06564666799","4077.55040882119","3963.87680689337","4067.92538262931","4239.41283120208","4593.23557619143","4790.51382953662","","",
"Cuba","CUB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1204.8","1210.7","1357","1273.7","1082.6","1178.6","1151.9","1209","1399.5","1525.6","1617.4","1374","1278.1","1804.7","2070.1","2275.4","2412.5","2420.1","2321.8","2546.8","2504.4","2692.8","2702.5","2727.8","2615.6","2681.5","2430.4","2549.1","2516","2342.1","2175.8","1751.2","1324.9","1789.9","1965.9","2008.3","2189.3","1874.5","2750.8","2528.4","2880.6","3123.2","3188.8","2921.5","2561.6","2782.8","2912.9","2674.2","2068.8","1937.2","2619.1","2803.2","2903.8","2813.7","","",
"Curacao","CUW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","654.8","1157.6","1121.3","802.9","1598.9","752.4","1297.7","824.8","1334.9","657.3","1336.3","1068.3","107.2","1290.8","1475.3","1462.9","1315","1777.3","1665","1939.4","1773.3","1778.2","1388.8","1757.7","2097.7","1301.1","2331.3","2679.9","2480.4","1886","1335.9","2789.8","2964.4","2553.5","2384.9","2395.5","1110.6","1114.4","2156.4","931.4","2275.9","2394.4","2263.9","1677.9","1201.2","1219.7","1596.1","1060.9","1942.2","1931.2","2133.6","2399.3","1688","291","","",
